ID,성함,직책,진료과목,사진경로,월_오전,월_오후,화_오전,화_오후,수_오전,수_오후,목_오전,목_오후,금_오전,금_오후,토_오전,토_오후,일_오전,일_오후
1,"염승철","병원장","침구의학과전문의","images/doctor1.webp",진료,진료,진료,진료,진료,휴진,휴진,휴진,진료,진료,진료,진료,휴진,휴진
2,"김준수","의무원장","재활의학과전문의","images/doctor2.webp",진료,진료,진료,진료,휴진,휴진,부분,야간,진료,진료,진료,진료,휴진,휴진
3,"장영우","원장","안이비인후피부과전문의","images/doctor3.webp",진료,진료,휴진,휴진,진료,진료,휴진,휴진,진료,진료,진료,진료,휴진,휴진
4,"이일석","원장","내과전문의","images/doctor4.webp",휴진,휴진,부분,야간,진료,진료,휴진,휴진,진료,진료,진료,진료,진료,진료
5,"김동은","원장","재활의학과전문의","images/doctor5.webp",진료,진료,진료,진료,휴진,휴진,진료,진료,진료,진료,진료,진료,휴진,휴진
6,"이동근","원장","침구의학과전문의","images/doctor6.webp",진료,진료,휴진,휴진,진료,진료,진료,진료,진료,진료,진료,부분,휴진,휴진
7,"강경래","원장","내과전문의","images/doctor7.webp",진료,진료,진료,진료,휴진,휴진,진료,진료,진료,진료,진료,휴진,휴진,휴진
8,"이영식","원장","신경정신과전문의","images/doctor8.webp",진료,진료,휴진,휴진,진료,진료,진료,진료,부분,야간,진료,진료,휴진,휴진
9,"박주헌","원장","침구의학과전문의","images/doctor9.webp",부분,야간,진료,진료,진료,진료,휴진,휴진,진료,진료,진료,진료,휴진,휴진
10,"고민석","원장","침구의학과전문의","images/doctor10.webp",휴진,휴진,진료,진료,진료,야간,휴진,휴진,진료,부분,휴진,휴진,진료,진료
